Querylength,domain_token_count,path_token_count,domainlength,pathLength,NumberofDotsinURL,URL_DigitCount,URL_Letter_Count,spcharUrl
0,3,3,16,14,2,0,26,1
0,2,4,12,21,1,0,29,0
0,4,9,21,37,3,8,39,4
92,2,5,22,117,2,39,90,6
0,2,6,14,23,1,0,31,2
0,2,12,10,65,1,6,61,9
0,2,10,8,61,1,11,48,7
0,2,3,16,21,2,0,34,0
0,3,4,21,28,3,0,48,1
0,3,7,13,51,2,0,56,5
0,2,2,18,8,2,0,24,0
0,3,4,18,25,3,0,38,0
17,2,2,13,18,1,0,26,4
0,3,7,21,49,3,1,65,2
0,3,2,20,12,2,0,29,0
0,3,12,23,72,2,9,73,11
91,3,3,24,101,3,7,102,18
0,3,2,18,11,2,0,26,0
28,4,2,21,37,2,1,52,8
0,2,4,12,30,1,9,29,1
0,4,6,23,34,3,0,49,2
0,2,5,8,29,1,4,28,3
0,2,5,7,27,1,3,26,0
43,4,8,19,79,3,3,82,14
26,2,15,15,113,1,8,106,17
19,2,4,7,39,2,5,36,2
0,2,8,12,39,1,3,40,4
0,4,6,17,22,3,0,31,2
0,1,26,5,118,8,12,84,9
46,3,3,24,56,3,2,72,8
0,3,3,15,19,2,3,26,2
0,2,1,15,0,1,0,14,0
0,3,7,12,41,1,0,50,2
0,3,2,20,8,3,0,25,0
0,3,8,22,49,3,0,62,0
0,4,5,31,33,4,12,44,1
23,3,2,25,30,2,11,37,3
0,2,6,9,48,2,0,55,2
0,3,6,29,46,2,0,72,1
11,2,5,20,42,1,7,49,3
0,2,12,15,77,8,12,72,3
0,3,5,16,39,2,5,44,1
0,3,1,23,6,2,0,27,0
0,2,4,17,27,3,0,40,0
0,3,3,21,20,3,0,36,1
7,2,12,13,64,2,5,59,8
0,4,3,20,16,3,1,34,3
22,2,23,10,143,1,5,127,25
0,2,4,6,36,1,0,37,4
18,3,4,19,35,3,6,41,4
0,4,1,42,0,2,3,36,1
0,2,9,12,56,1,9,50,7
0,2,2,12,3,1,0,17,1
13,2,2,11,19,1,1,26,2
32,2,4,19,57,3,4,63,4
0,2,11,6,82,1,8,73,7
0,2,14,14,80,1,8,76,10
0,2,12,17,68,1,14,59,7
0,3,2,22,1,2,0,20,0
56,3,3,17,66,3,5,68,12
0,5,5,19,22,3,0,33,3
0,2,6,12,28,1,7,27,1
0,4,9,21,45,3,8,47,4
0,2,2,19,7,1,6,18,0
0,3,2,16,10,3,0,23,0
0,3,8,16,54,3,3,62,1
0,2,7,15,86,2,19,63,20
0,3,7,15,38,2,9,36,6
7,2,4,16,24,2,4,31,2
0,4,3,12,22,4,0,29,0
0,3,2,14,12,2,4,19,0
0,4,4,22,28,4,0,43,2
9,2,3,13,18,2,0,27,2
0,3,2,17,1,1,0,15,1
0,2,10,14,76,1,8,76,7
0,2,6,15,37,1,0,46,4
0,3,5,15,33,3,0,42,0
0,2,6,17,33,2,6,38,2
0,2,14,10,80,1,5,75,11
12,3,2,17,13,2,4,21,3
53,3,3,15,63,3,4,65,11
0,2,7,13,54,1,25,35,1
0,2,6,11,34,2,1,38,2
0,2,6,10,32,1,0,36,4
23,4,3,27,33,4,0,56,5
0,4,4,12,24,4,9,25,2
0,3,3,18,18,2,0,36,2
0,2,15,14,96,2,3,92,9
0,3,4,16,25,2,0,36,0
0,2,14,19,94,4,6,108,5
8,2,4,14,71,1,12,62,8
0,2,7,17,47,2,6,51,4
10,4,4,18,25,3,7,29,2
8,3,8,17,75,4,12,67,8
0,2,3,19,15,2,0,31,0
0,2,6,12,24,1,7,23,1
0,2,11,14,59,2,6,56,5
0,2,16,8,125,2,0,117,12
0,2,3,15,17,2,0,29,1
32,2,3,13,42,2,0,46,7
47,3,3,16,57,2,4,61,11
60,4,3,20,70,4,4,75,12
0,3,11,12,67,3,4,67,8
0,7,1,51,0,3,9,36,3
0,3,3,13,17,2,0,26,0
0,3,4,17,20,3,0,32,2
0,2,5,10,34,2,0,39,2
0,3,2,30,1,2,0,28,0
0,4,1,26,0,2,1,22,1
0,3,7,18,40,1,6,44,4
72,3,2,17,81,2,29,65,8
0,3,14,13,68,2,7,63,1
0,2,1,16,0,1,0,15,0
0,2,2,21,1,1,0,20,0
32,4,4,21,52,3,1,65,8
0,3,9,18,43,3,6,45,5
106,2,3,18,116,2,5,111,21
0,2,3,10,16,2,0,23,1
24,2,11,14,71,3,3,70,10
0,3,8,22,56,1,27,42,3
0,3,2,24,1,2,0,22,0
41,3,4,32,58,3,0,83,8
18,3,4,18,36,3,13,35,2
0,2,5,19,31,1,6,39,1
